qid,tier,lat,lon,sitelinks,iso
Q70550728,pilgrimage_major,48.83742,8.38732,1,DE
Q72096484,pilgrimage_major,49.40709,6.91658,1,DE
Q73262735,pilgrimage_major,41.82215,2.35508,2,ES
Q73406580,pilgrimage_major,42.00872,2.03848,2,ES
Q76949194,pilgrimage_major,41.41399,-8.25081,1,PT
Q77243545,pilgrimage_major,40.75350,14.68780,3,IT
Q80456347,pilgrimage_major,49.18512,13.95601,1,CZ
Q81348214,pilgrimage_major,37.72602,-89.89015,0,US
Q83735987,pilgrimage_major,50.70378,14.40111,2,CZ
Q84489073,pilgrimage_major,50.53457,16.05072,0,CZ
Q84987763,pilgrimage_major,40.94389,14.63639,2,IT
Q85684989,pilgrimage_major,47.40856,16.49877,0,AT
Q85684992,pilgrimage_major,47.10557,16.46048,0,AT
Q85881945,pilgrimage_major,33.77933,132.87478,2,JP
Q87374746,pilgrimage_major,37.21096,-2.20586,1,ES
Q88626174,pilgrimage_major,42.54111,-8.58444,1,ES
Q88774331,pilgrimage_major,45.36378,10.43224,2,IT
Q90417247,pilgrimage_major,42.91010,-2.87763,3,ES
Q91888668,pilgrimage_major,47.76444,8.78194,2,DE
Q92190479,pilgrimage_major,44.80920,8.38450,3,IT
Q17021257,pilgrimage_major,14.52310,121.26730,3,PH
Q17070861,pilgrimage_major,14.63200,120.99800,4,PH
Q17188637,pilgrimage_major,48.10017,11.54486,2,DE
Q17300928,pilgrimage_major,42.04190,2.26000,2,ES
Q17326281,pilgrimage_major,50.63422,6.47957,2,DE
Q108181648,pilgrimage_major,44.26885,7.72814,1,IT
Q108300460,pilgrimage_major,40.15115,-1.32583,2,ES
Q108418263,pilgrimage_major,42.43394,-8.64650,7,ES
Q108474661,pilgrimage_major,49.09562,14.18726,3,CZ
Q108582014,pilgrimage_major,29.90474,-81.31525,1,US
Q108832768,pilgrimage_major,47.37644,11.69240,1,AT
Q108872429,pilgrimage_major,9.97919,123.59992,3,PH
Q109236346,pilgrimage_major,13.64225,121.04331,1,PH
Q109429283,pilgrimage_major,51.27468,4.74029,1,BE
Q109439288,pilgrimage_major,44.35264,7.54310,0,IT
Q109526874,pilgrimage_major,-32.16646,116.01847,1,AU
Q109628624,pilgrimage_major,44.33249,7.80419,1,IT
Q109645910,pilgrimage_major,44.36305,7.46333,1,IT
Q109646809,pilgrimage_major,44.71369,8.22274,1,IT
Q109650460,pilgrimage_major,44.31357,7.17339,0,IT
Q109650552,pilgrimage_major,44.55611,7.53926,0,IT
Q109650786,pilgrimage_major,44.64680,7.65853,1,IT
Q109675843,pilgrimage_major,44.63556,8.76406,1,IT
Q109758359,pilgrimage_major,45.65809,7.99058,1,IT
Q110205889,pilgrimage_major,45.80773,9.09988,2,IT
Q110465004,pilgrimage_major,40.75554,14.44742,1,IT
Q110763981,pilgrimage_major,14.66270,120.94450,1,PH
Q110887329,pilgrimage_major,45.80922,9.09158,2,IT
Q110914325,pilgrimage_major,46.36265,9.36523,2,IT
Q110916259,pilgrimage_major,45.70516,9.54071,1,IT
Q110938399,pilgrimage_major,51.12949,4.70974,2,BE
Q111044058,pilgrimage_major,38.96242,16.36459,0,IT
Q111419448,pilgrimage_major,41.00463,15.10797,0,IT
Q111536318,pilgrimage_major,40.06473,-8.30016,2,PT
Q111548794,pilgrimage_major,39.56929,-8.22566,1,PT
Q111549906,pilgrimage_major,43.85968,4.39663,1,FR
Q111696261,pilgrimage_major,47.56083,12.68833,2,AT
Q111980471,pilgrimage_major,49.83761,18.82174,1,PL
Q112032018,pilgrimage_major,40.96947,15.15080,1,IT
Q112042528,pilgrimage_major,49.01446,12.02700,0,DE
Q112044432,pilgrimage_major,46.12684,9.28247,2,IT
Q112122621,pilgrimage_major,12.66224,-87.16654,4,NI
Q112122640,pilgrimage_major,23.04569,-82.46519,0,CU
Q112148320,pilgrimage_major,48.67881,13.86268,1,AT
Q112301055,pilgrimage_major,45.65678,9.25417,2,IT
Q112301058,pilgrimage_major,45.61791,9.97934,1,IT
Q112620213,pilgrimage_major,-34.46594,-70.89597,1,CL
Q112650991,pilgrimage_major,40.88997,16.75174,2,IT
Q112673374,pilgrimage_major,45.81153,10.33600,1,IT
Q112673447,pilgrimage_major,45.65869,10.04964,1,IT
Q112673643,pilgrimage_major,45.67942,9.23701,1,IT
Q112673815,pilgrimage_major,45.81989,9.28455,1,IT
Q112673842,pilgrimage_major,45.65213,9.20754,1,IT
Q112673939,pilgrimage_major,45.86199,9.41296,1,IT
Q112674227,pilgrimage_major,45.57915,9.48317,1,IT
Q112704281,pilgrimage_major,46.61300,19.84428,1,HU
Q112812361,pilgrimage_major,45.67072,8.96264,1,IT
Q112812505,pilgrimage_major,45.74970,9.30248,1,IT
Q112812537,pilgrimage_major,45.84329,9.34551,1,IT
Q112813396,pilgrimage_major,45.80627,9.08076,0,IT
Q112842543,pilgrimage_major,46.02058,11.79268,1,IT
Q112938426,pilgrimage_major,45.79425,11.83964,2,IT
Q113111716,pilgrimage_major,22.95106,-82.42219,1,CU
Q113214456,pilgrimage_major,50.49190,15.78526,1,CZ
Q113637197,pilgrimage_major,49.71879,17.73372,2,CZ
Q113672165,pilgrimage_major,47.10958,9.24024,1,CH
Q113801537,pilgrimage_major,37.25382,27.90138,1,TR
