qid,lat,lon,sitelinks,iso
Q70699,46.35000,8.78333,26,CH
Q70708,46.81667,7.33333,23,CH
Q70710,46.16667,7.18333,30,CH
Q70747,46.00240,8.87420,24,CH
Q85166,46.33250,6.78444,17,CH
Q100009,46.80387,7.15743,8,CH
Q113645,46.68083,9.67583,26,CH
Q117694,47.42318,9.36987,12,CH
Q123003,46.15600,8.65474,6,CH
Q155336,47.47540,8.20586,7,CH
Q155699,47.42306,9.37722,44,CH
Q156011,49.00000,15.00000,56,CH
Q66641,47.56639,9.28333,28,CH
Q66648,47.70530,8.47750,26,CH
Q65110,46.77540,10.15254,29,CH
Q65125,47.56354,9.35639,41,CH
Q65127,47.66917,9.07972,30,CH
Q65142,47.44000,8.14833,26,CH
Q65172,46.83306,9.58333,23,CH
Q65193,47.52620,8.21960,26,CH
Q65211,46.75139,8.10222,32,CH
Q65222,47.30111,8.31389,29,CH
Q65238,46.74972,8.05000,30,CH
Q65268,46.74972,8.03333,44,CH
Q65296,46.91970,9.76680,30,CH
Q65316,47.29611,8.23028,28,CH
Q65361,46.65000,9.55000,25,CH
Q65386,47.03974,9.53303,29,CH
Q65395,46.71639,9.16667,23,CH
Q65399,46.68710,9.67230,27,CH
Q65404,46.99972,9.55000,29,CH
Q65411,47.30528,8.05278,27,CH
Q65446,47.15880,9.04660,29,CH
Q65455,47.31639,7.69444,33,CH
Q65457,47.47222,8.13028,22,CH
Q65463,47.66639,9.01639,29,CH
Q65502,46.68640,7.89460,32,CH
Q65525,47.41639,8.96667,27,CH
Q65531,46.17400,6.02100,30,CH
Q65538,46.23712,6.27913,31,CH
Q65549,46.78306,9.26667,24,CH
Q65552,46.61639,9.98333,31,CH
Q65557,46.76760,10.11050,24,CH
Q65569,46.26639,9.15000,27,CH
Q65577,47.49944,9.39500,28,CH
Q65599,47.54972,9.14972,29,CH
Q65609,47.29694,7.77083,29,CH
Q65631,47.30050,9.17539,26,CH
Q65656,46.76639,9.21667,23,CH
Q65669,46.71639,9.21667,23,CH
Q65676,47.34972,9.06667,24,CH
Q65681,46.62056,8.57000,30,CH
Q65687,46.23800,9.10610,28,CH
Q65706,46.51639,9.61639,25,CH
Q65708,46.33540,9.12080,23,CH
Q65711,46.34972,9.21639,29,CH
Q65716,46.78306,9.15000,21,CH
Q65718,46.68306,9.13333,24,CH
Q65753,46.38333,7.26639,31,CH
Q65779,47.45778,8.74500,26,CH
Q65781,47.56639,8.59972,29,CH
Q65802,47.58306,8.98333,26,CH
Q65828,47.52611,8.95556,28,CH
Q65889,47.50000,7.93333,26,CH
Q65895,46.82028,7.54972,28,CH
Q65897,47.54833,8.29167,22,CH
Q65907,47.43722,8.10417,27,CH
Q65909,47.56083,7.90417,26,CH
Q65936,47.46528,7.85278,30,CH
Q65939,46.62910,7.39110,31,CH
Q65949,46.67520,7.63760,29,CH
Q65957,46.64940,7.56510,29,CH
Q66069,46.97444,8.75778,30,CH
Q66074,47.54833,8.18583,27,CH
Q66095,47.43306,7.93333,28,CH
Q66111,47.49583,7.82528,28,CH
Q66132,46.66080,7.55290,30,CH
Q66156,47.46083,8.39111,27,CH
Q66184,46.60200,9.95980,34,CH
Q66191,47.52275,7.64519,37,CH
Q66200,46.29355,6.24472,33,CH
Q66214,46.67222,9.68750,35,CH
Q66237,47.26320,9.12340,29,CH
Q66291,47.50833,8.10000,25,CH
Q66300,46.94333,7.78528,36,CH
Q66302,47.66430,9.13381,28,CH
Q66319,47.13611,7.47639,22,CH
Q66323,47.52444,7.84583,29,CH
Q66325,47.50528,7.86444,28,CH
Q66357,47.38889,7.59083,26,CH
Q66360,47.14028,7.37222,34,CH
Q66373,47.70190,8.55170,27,CH
Q66387,46.82180,7.43940,29,CH
Q66390,47.15278,7.00000,34,CH
Q66442,47.46110,7.99790,26,CH
Q66457,47.61222,8.54083,33,CH
Q66468,47.13306,7.50556,23,CH
Q66500,47.70270,8.49900,27,CH
Q66518,47.44306,8.13167,23,CH
Q66534,47.21667,9.05000,24,CH
Q66537,47.46482,7.78478,30,CH
Q66539,47.18750,7.49444,23,CH
Q66554,47.46436,7.81062,30,CH
Q66559,47.48056,7.45694,27,CH
Q66564,47.51278,7.76500,29,CH
Q66575,47.45611,7.63972,28,CH
Q66577,47.43583,7.65972,29,CH
Q66582,46.70290,7.89510,31,CH
Q66601,47.29572,9.08303,30,CH
Q66606,46.87861,9.52694,29,CH
Q66611,46.72980,7.66914,33,CH
Q66617,47.50806,8.02222,29,CH
Q66626,47.50111,8.06389,25,CH
Q66629,46.48306,7.26639,35,CH
Q386286,47.55444,7.59056,10,CH
Q389451,46.47600,8.82490,6,CH
Q390656,46.31500,7.99083,7,CH
Q391993,47.55944,7.58833,7,CH
Q382126,47.44192,8.10071,6,CH
Q162573,47.27498,8.33797,15,CH
Q164912,47.50694,8.75574,5,CH
Q174946,46.00551,8.94688,12,CH
Q175227,47.41667,7.21667,11,CH
Q175411,47.73369,8.66120,5,CH
Q176775,47.00519,7.02180,13,CH
Q177419,47.60378,8.20201,7,CH
Q177545,46.24647,8.02924,6,CH
Q180904,47.55917,7.61222,13,CH
Q182806,47.09889,9.06278,24,CH
Q186519,46.99917,8.61004,9,CH
Q189926,47.04833,8.30722,5,CH
Q190260,47.37417,8.54528,12,CH
Q191189,46.94917,7.47389,15,CH
Q194622,46.95111,7.44333,21,CH
Q194626,47.55403,7.59419,27,CH
Q194887,47.41153,8.54410,12,CH
Q198581,47.13390,9.06130,6,CH
Q206387,46.35000,8.63333,9,CH
Q209270,47.33056,9.40861,55,CH
Q212308,46.18333,7.60000,15,CH
Q220009,47.54734,7.57876,17,CH
Q224494,47.37817,8.54018,33,CH
