qid,tier,lat,lon,radius_km,iso
Q21001850,ich_national,43.12894,-1.70722,60,ES
Q21002000,ich_national,43.00194,-4.13778,60,ES
Q21003744,ich_national,42.06528,-1.60667,60,ES
Q21029556,ich_national,47.87240,-4.33787,60,FR
Q21273583,ich_national,48.56473,-0.41106,60,FR
Q21279224,ich_national,48.57707,-2.21106,60,FR
Q21427048,ich_national,49.38353,0.91462,60,FR
Q21427132,ich_national,44.69347,0.05899,60,FR
Q21427411,ich_national,48.80047,-1.44031,60,FR
Q21427412,ich_national,48.76291,-0.59799,60,FR
Q21427860,ich_national,47.00000,2.00000,60,FR
Q21480645,ich_national,42.16663,-5.26270,60,ES
Q5667441,ich_national,37.18246,-5.78175,60,ES
Q5674258,ich_national,28.35000,-16.60000,60,ES
Q5678437,ich_national,38.70389,-3.77639,60,ES
Q5685566,ich_national,37.98333,-1.13028,60,ES
Q5691435,ich_national,38.98333,-3.91667,60,ES
Q5719012,ich_national,37.98333,-1.13028,60,ES
Q5719674,ich_national,1.21000,-77.27472,60,CO
Q5722479,ich_national,43.41444,-3.41000,60,ES
Q5737798,ich_national,41.19917,-2.87000,60,ES
Q5752800,ich_national,39.39010,-3.21024,60,ES
Q5752821,ich_national,38.87789,-6.97061,60,ES
Q5752834,ich_national,39.36694,-3.35500,60,ES
Q5752844,ich_national,37.19944,-7.32528,60,ES
Q5752861,ich_national,42.06136,-7.46200,60,ES
Q5752894,ich_national,39.26500,-1.91278,60,ES
Q5752915,ich_national,39.26667,-2.60000,60,ES
Q5752931,ich_national,40.59917,-6.52889,60,ES
Q5752929,ich_national,37.40417,-1.58194,60,ES
Q5752941,ich_national,40.20000,-3.50000,60,ES
Q5760074,ich_national,-13.26000,-72.11000,60,PE
Q5763483,ich_national,37.97778,-0.68333,60,ES
Q5789983,ich_national,43.38444,-3.21500,60,ES
Q5799146,ich_national,42.28916,-8.80640,60,ES
Q5801467,ich_national,43.16850,-5.73756,60,ES
Q5803376,ich_national,43.46167,-3.71833,60,ES
Q5803870,ich_national,43.24464,-5.56157,60,ES
Q5803879,ich_national,43.54917,-6.72556,60,ES
Q5815728,ich_national,43.36250,-5.85028,60,ES
Q5815733,ich_national,43.30750,-4.23250,60,ES
Q5815809,ich_national,43.35969,-4.08725,60,ES
Q5815817,ich_national,43.40469,-6.54354,60,ES
Q5820985,ich_national,42.01667,-4.53333,60,ES
Q5821244,ich_national,43.39122,-5.66099,60,ES
Q5832389,ich_national,41.40092,-4.31359,60,ES
Q5836853,ich_national,40.65879,-3.76632,60,ES
Q5858753,ich_national,43.27917,-8.21063,60,ES
Q5858861,ich_national,43.36250,-5.85028,60,ES
Q5860858,ich_national,41.86667,0.46194,60,ES
Q5860920,ich_national,43.19417,-0.60667,60,ES
Q5861003,ich_national,37.80366,-0.83428,60,ES
Q5861062,ich_national,38.16667,-6.65000,60,ES
Q5861076,ich_national,40.82472,-3.04944,60,ES
Q5861311,ich_national,43.35822,-5.50568,60,ES
Q5861338,ich_national,37.61907,-0.87551,60,ES
Q5861667,ich_national,43.52931,-5.67732,60,ES
Q5861670,ich_national,43.56333,-6.14581,60,ES
Q5861671,ich_national,43.54689,-6.38675,60,ES
Q5861673,ich_national,40.65879,-3.76632,60,ES
Q5861678,ich_national,43.14521,-6.07081,60,ES
Q5861679,ich_national,43.54544,-6.53997,60,ES
Q5861676,ich_national,43.40654,-4.71802,60,ES
Q5861677,ich_national,43.17620,-6.54886,60,ES
Q5861683,ich_national,43.35042,-5.13050,60,ES
Q5861692,ich_national,43.42112,-4.75308,60,ES
Q5861702,ich_national,36.70000,-6.11667,60,ES
Q5861700,ich_national,42.61667,-8.77500,60,ES
Q5861717,ich_national,36.70000,-6.11667,60,ES
Q5861721,ich_national,43.41982,-4.75485,60,ES
Q5861740,ich_national,38.04907,-1.96280,60,ES
Q5861750,ich_national,43.55611,-5.92222,60,ES
Q5861749,ich_national,43.17430,-5.97046,60,ES
Q5861754,ich_national,43.38583,-5.19083,60,ES
Q5861752,ich_national,43.55611,-5.92222,60,ES
