WDPAID,NAME,IUCN_CAT,GIS_AREA,ISO3,latitude,longitude
555571207,Batang Pangean II,IA,209.80,IDN,-0.96644,101.20036
555571208,Bukit Bungkuk,IA,139.72,IDN,0.23605,100.90666
555571211,Balai Raja,IV,153.33,IDN,1.15580,101.19053
555571216,Lubuk Raya,IA,29.84,IDN,1.47347,99.19373
555571227,Gunung Merapi,II,64.47,IDN,-7.55987,110.42424
555571229,Toffo Kota Lambu,IA,33.71,IDN,-8.59504,119.14948
555571230,Gunung Tambora Selatan,IA,259.03,IDN,-8.25045,117.98084
555571236,Karimunjawa,IA,1190.26,IDN,-5.79729,110.30976
555571244,Wolo Tadho,IA,42.71,IDN,-8.42935,121.04827
555571249,Watu Ata,IA,43.33,IDN,-8.77367,120.93802
555571253,Laiwangi Wanggameti,II,463.09,IDN,-10.06977,120.15707
555571264,Ganda Dewata,II,2135.47,IDN,-2.35347,119.51363
555571275,Pamona,IA,273.08,IDN,-2.04773,120.58354
555571278,Tanjung Batikolo,IV,39.07,IDN,-4.45327,122.72153
555571285,Gunung Dako,IA,197.28,IDN,1.10971,120.97336
555571286,Tinombala,IA,359.63,IDN,0.71028,120.79673
555571289,Pulau Larat,IV,45.31,IDN,-7.15782,131.86681
555571290,Savan,IV,69.10,IDN,-8.29960,138.95835
555571292,Tobalai,IA,35.49,IDN,-1.63279,128.33025
555571293,P. Kofiau,IA,166.64,IDN,-1.22715,129.76143
555571294,Bekau Huhun,IA,451.81,IDN,-7.81125,126.07385
555571296,Tanjung Wiay,IA,44.01,IDN,-3.18386,135.67030
555571307,Sungai Bulan dan Sungai Lulan,IA,30.42,IDN,-3.87095,116.25793
555571309,Каратауский,IV,185.07,TJK,37.32492,69.34604
555571310,Сангворский,IV,536.48,TJK,38.82998,71.46000
555571311,Кусавлисайский,IV,278.99,TJK,39.56600,68.68115
555571312,Алмасинский,IV,64.84,TJK,38.69028,68.45419
555571313,Нурекский,IV,125.63,TJK,38.50382,69.69616
555571314,Таджикский Национальный парк,II,23322.74,TJK,38.48962,72.37639
555571317,Ngyanga Nord,IV,88.07,COG,-2.96381,11.82566
555571319,Mont Fouari,IV,287.53,COG,-2.78465,11.62217
555571528,Nishicha,IV,33.95,JPN,42.22863,142.88092
555571542,Akan,IV,53.19,JPN,43.14016,144.15783
555571543,Akanko,IV,90.02,JPN,43.43562,144.11501
555571563,Okushiri,IV,65.94,JPN,42.16213,139.48418
555571592,Kyushu daigaku enshurin,IV,36.77,JPN,43.30395,143.51952
555571598,Kussharoko,IV,85.36,JPN,43.61652,144.33711
555571628,Shikotsuko,IV,223.38,JPN,42.75108,141.30340
