qid,tier,lat,lon,sitelinks,iso
n8899615699,institution,36.61987,138.62871,0,JP
n4687972416,craft_cluster,36.73305,138.43167,0,JP
n4687974407,craft_cluster,36.73272,138.43216,0,JP
n4687974645,institution,36.73281,138.43224,0,JP
n1420709099,institution,36.58938,138.84290,0,JP
n4327873104,craft_cluster,36.51647,139.00733,0,JP
n1420713900,institution,36.64942,139.04000,0,JP
n1420708551,institution,36.69502,138.98117,0,JP
n1420713792,institution,36.52116,139.04364,0,JP
n4843499410,craft_cluster,36.68781,139.10659,0,JP
n4843499405,craft_cluster,36.68725,139.10791,0,JP
n4843499523,craft_cluster,36.68705,139.10751,0,JP
n1420710621,institution,36.69303,139.10541,0,JP
n2983954433,institution,36.72624,138.88823,0,JP
n1420709087,institution,36.73030,138.89395,0,JP
n1420708552,institution,36.77086,138.96845,0,JP
n1420710387,institution,36.83333,139.05752,0,JP
n1420714045,institution,36.83832,139.06965,0,JP
n4986693097,institution,36.91159,139.05424,0,JP
n1095260805,institution,36.92633,138.45386,0,JP
n9945316668,institution,37.07678,138.61062,0,JP
n12071693971,craft_cluster,36.97242,138.67082,0,JP
n12069321359,craft_cluster,37.00145,138.66335,0,JP
n12072655977,craft_cluster,37.01119,138.65480,0,JP
n11048839684,craft_cluster,36.93821,138.80674,0,JP
n2047351275,institution,37.11259,138.69366,0,JP
n9864825613,institution,37.10936,138.80449,0,JP
n6982048485,institution,37.15258,138.72220,0,JP
n9818722800,institution,37.18299,138.78161,0,JP
n3632217106,institution,37.20371,138.82227,0,JP
n7805140746,institution,37.32624,138.88996,0,JP
n6986789420,institution,37.32253,139.01413,0,JP
n6987363299,institution,37.32153,139.01548,0,JP
n2518633977,institution,37.43867,138.76771,0,JP
n2097593956,institution,37.63386,138.76027,0,JP
n3656175427,institution,37.63902,138.76757,0,JP
n6153064119,craft_cluster,37.41718,138.84241,0,JP
n6153064125,craft_cluster,37.41502,138.84078,0,JP
n6153064128,craft_cluster,37.41352,138.84448,0,JP
n6153064127,craft_cluster,37.41265,138.84493,0,JP
n6475063495,institution,37.44868,138.85240,0,JP
n13155291141,institution,37.54653,138.88356,0,JP
n9565457980,institution,37.53523,138.91720,0,JP
n7804980198,craft_cluster,37.45539,138.97948,0,JP
n7799470759,craft_cluster,37.47626,138.99185,0,JP
n13397842108,craft_cluster,37.47421,138.99596,0,JP
n7803877171,craft_cluster,37.48377,138.99228,0,JP
n7324599463,institution,37.65266,138.91940,0,JP
n7324599417,institution,37.65763,138.91932,0,JP
n5982733720,craft_cluster,37.63596,138.96529,0,JP
n12145995401,craft_cluster,37.66286,138.92282,0,JP
n9917996817,institution,37.76444,138.89021,0,JP
n8828955042,institution,37.76271,139.01070,0,JP
n1399777201,institution,37.74989,139.11347,0,JP
n1399900920,institution,37.74989,139.11460,0,JP
n2421527069,institution,37.76309,139.11220,0,JP
n2455666463,institution,37.76252,139.11240,0,JP
n2456809688,institution,37.76135,139.11593,0,JP
n895455211,institution,38.04506,138.44552,0,JP
n14078156185,craft_cluster,37.83846,138.93547,0,JP
n14102445004,craft_cluster,37.85313,138.92532,0,JP
n14104634228,craft_cluster,37.85144,138.92466,0,JP
n14104634229,craft_cluster,37.85171,138.92470,0,JP
