id,lat,lon,kind,weight,tag
Q21856673,75.55333,-21.62167,A3,0.6,Q45776
Q21856675,75.00000,-21.48000,A3,0.6,Q45776
Q21878750,76.56667,-18.92500,A3,0.6,Q45776
Q21882094,76.42167,-22.00000,A3,0.6,Q45776
Q21882130,76.53333,-22.00000,A3,0.6,Q45776
Q21882131,76.66667,-22.00000,A3,0.6,Q45776
Q21882132,76.57667,-22.37500,A3,0.6,Q45776
Q21884150,76.94000,-21.16000,A3,0.6,Q45776
Q21884151,76.85500,-21.15667,A3,0.6,Q45776
Q21891783,77.50833,-20.41500,A3,0.6,Q45776
Q844192,42.25611,18.89139,A3,0.7,Q23442
Q844263,45.44694,12.34722,A3,0.7,Q23442
Q844650,53.31713,-4.02660,A3,0.7,Q23442
Q845229,33.38336,-118.41758,A3,0.7,Q23442
Q845310,41.20000,9.46667,A3,0.7,Q23442
Q845456,45.00000,-66.96667,A3,0.7,Q23442
Q845540,24.03500,-74.49750,A3,0.7,Q23442
Q845565,22.18194,114.30333,A3,0.7,Q23442
Q845670,32.30611,-64.85639,A3,0.7,Q23442
Q845873,76.55000,25.11667,A3,0.7,Q23442
Q846115,39.56667,124.88333,A3,0.7,Q23442
Q847008,-16.82000,-151.44000,A3,0.7,Q23442
Q847281,45.90000,149.98333,A3,0.7,Q23442
Q847285,44.07000,145.77000,A3,0.7,Q23442
Q848571,31.79972,-116.78889,A3,0.7,Q23442
Q849086,59.32583,18.08417,A3,0.7,Q23442
Q849441,18.33968,-64.74958,A3,0.7,Q23442
Q849958,29.25000,-13.50000,A3,0.7,Q23442
Q851483,-5.68139,72.31083,A3,0.7,Q23442
Q851568,80.15139,32.59361,A3,0.7,Q23442
Q851977,57.76667,11.88333,A3,0.7,Q23442
Q852433,-11.68333,160.33333,A3,0.7,Q23442
Q853419,23.57500,-164.70028,A3,0.7,Q23442
Q853909,29.04521,-118.27754,A3,0.7,Q23442
Q854651,42.16472,19.22944,A3,0.7,Q23442
Q855235,11.97500,121.92250,A3,0.7,Q23442
Q855267,22.33111,113.96694,A3,0.7,Q23442
Q855314,-0.94503,135.93614,A3,0.7,Q23442
Q855652,-0.80000,-89.40000,A3,0.7,Q23442
Q856906,-62.60000,-60.50000,A3,0.7,Q23442
Q858061,32.86670,129.01700,A3,0.7,Q23442
Q858095,-54.45310,3.31500,A3,0.7,Q23442
Q858292,32.68333,128.75000,A3,0.7,Q23442
Q858513,25.03000,-77.40500,A3,0.7,Q23442
Q858950,62.68667,-70.60242,A3,0.7,Q23442
Q859440,-62.03333,-58.35000,A3,0.7,Q23442
Q859646,-18.80000,169.06667,A3,0.7,Q23442
Q860298,5.98333,121.13333,A3,0.7,Q23442
Q860540,-5.25000,154.63333,A3,0.7,Q23442
