qid,lat,lon
Q31454296,46.67833,134.16083
Q31454298,46.69806,134.34028
Q31454301,46.69361,134.41028
Q31454305,46.72750,134.39139
Q31454308,46.74861,134.44917
Q524,40.82261,14.42919
Q1484,13.25667,123.68500
Q4675,46.20028,-122.18944
Q14052,-2.00250,-78.34083
Q14081,-1.46917,-78.81750
Q14082,-0.48139,-78.14083
Q16990,37.75083,14.99322
Q25022,-20.00000,-68.00000
Q26544,13.33333,-61.18333
Q29559,0.68600,99.53900
Q29595,5.44800,95.65800
Q39231,35.36056,138.72750
Q125945218,60.30456,4.95074
Q125945225,60.80028,5.18861
Q125945396,60.24616,5.17637
Q125945403,60.81583,5.20333
Q125945433,60.21889,4.98889
Q125945436,60.15212,5.42505
Q125945623,59.87289,5.56092
Q125960738,60.15080,5.37057
Q125960791,60.78722,5.23528
Q125960814,60.67360,5.15788
Q125960843,59.78203,5.52394
Q125960910,60.68105,5.11640
Q125960918,60.77278,5.17083
Q125961233,60.63842,5.00061
Q125961234,60.19387,5.07951
Q125961313,60.55833,5.22694
Q125961384,60.15960,5.01631
Q125961430,59.74428,5.40203
Q125961655,60.67434,5.15419
Q125961973,60.27175,4.93555
Q125962271,59.83279,5.60364
Q125962492,60.18031,4.97517
Q125962502,59.83929,5.61937
Q125962540,59.81827,5.57628
Q125962557,60.80441,5.18889
Q125962700,60.73389,5.30807
Q125962945,60.82125,5.19618
Q125962950,60.15259,5.32781
Q125962973,60.79389,4.99639
Q125963007,60.02528,5.72104
Q125963161,60.70311,4.74890
Q125968781,14.09118,44.67265
Q126477194,60.24052,4.97052
Q126871765,59.52058,5.24232
Q129286978,59.59896,5.31568
Q130226232,59.59783,5.31811
Q130262269,45.50140,148.86030
Q130739302,39.58472,46.17639
Q131618759,27.74083,-17.99028
Q133073112,40.82816,14.13963
Q134292417,64.95742,-22.90047
Q134436667,25.19145,121.52086
Q134461948,25.20871,121.55628
Q134476186,25.09751,121.44341
Q134476273,25.11739,121.42754
Q134484084,25.17732,121.66988
Q134485281,25.18758,121.65690
Q134497671,25.16193,121.60162
Q134517062,25.17400,121.59209
Q134518976,25.18149,121.59219
Q134530414,25.16872,121.61286
Q134531070,25.20525,121.61565
Q134538731,25.13076,121.58185
Q134540947,25.13480,121.56417
Q134546691,25.12775,121.54668
Q134548596,25.09442,121.87580
Q134560543,25.11366,121.85963
Q134563151,25.08446,121.87761
Q134571067,25.18356,121.62051
Q134599755,25.19099,121.66463
Q134607337,25.10409,121.85473
Q134619328,25.10174,121.85875
Q137392547,65.05209,-16.52295
Q137392919,65.06571,-16.72917
Q137551715,-36.84691,174.86766
Q138427192,50.14853,6.80586
Q138605488,36.81111,139.44000
Q139770031,28.60283,-13.91476
Q139770649,28.62031,-13.88861
Q140690503,70.95122,-8.70545
Q140690834,70.86000,-9.03973
Q140690836,70.86007,-9.06900
Q140690903,70.92688,-8.80153
Q141103313,70.99104,-8.26997
Q40692,-0.43258,100.31714
Q40758,35.95528,52.10917
Q40981,4.81050,96.81690
Q42174,-5.78333,105.62500
Q48689,61.41917,-141.71528
Q48691,61.38560,-141.74900
Q48783,-23.36667,-67.74639
Q74158,-5.05000,151.33333
Q76309,14.81306,-61.16556
Q107635,40.94000,126.83000
Q3117621,25.00000,267.00000
Q3125067,-0.54040,-77.62660
Q3131484,-36.19306,-71.16083
Q3132195,13.43500,-88.53200
Q3132346,-39.92189,-72.03323
Q3133588,36.10639,137.55361
Q3138897,6.78000,37.83000
Q3139453,43.52722,142.84861
Q3155409,-19.15000,-68.83333
Q3156114,45.01250,147.87361
Q3192416,-8.70000,-235.08000
Q3195608,65.43076,-16.64561
Q3197148,49.34000,-310.20000
Q3198640,8.80000,39.69200
Q3198899,5.10083,35.88389
Q3200888,0.45000,30.25000
Q3217435,-6.61667,110.88333
Q3229393,45.81810,2.94700
Q3237604,9.57000,40.28000
Q3273698,45.77660,3.08175
Q3276924,36.22887,137.58824
Q3286723,35.78000,-321.73000
Q3290107,5.03000,9.83000
Q3300188,19.36680,-155.20100
Q3321680,40.84450,14.10900
Q3321807,45.05840,3.85482
Q3321902,-2.87950,36.21100
Q3321904,31.93417,130.86167
Q3321906,4.80100,9.70700
Q3322001,6.19972,10.51889
Q3322034,-45.95200,50.43200
Q3322052,45.66810,3.03380
Q3322058,-73.45000,165.50000
Q3322136,-16.82800,-151.45200
Q3322217,-37.84880,77.54840
Q3322220,-46.41950,50.40200
Q3324201,15.37121,-61.32774
Q3327565,-5.70611,-36.32083
Q3332046,65.40001,-19.36611
Q3367232,45.93000,149.92000
Q3372707,10.30002,-84.36609
Q3377210,45.78979,2.96117
Q3382428,-46.43780,51.74570
Q3390548,52.34944,175.90944
Q3391954,39.15000,133.14000
Q3411049,-22.55730,-67.85283
Q3411078,45.79682,2.97148
Q3411084,45.95890,2.97427
Q3411087,45.79650,2.94332
Q3411089,45.75153,3.04974
Q3411091,45.85310,2.95083
Q3411093,45.71640,2.95583
Q3411094,45.97020,2.92648
