id,lat,lon,kind,weight,tag
osm-way-1301603397,-31.37595,-64.44089,A4,0.5,natural=cliff
osm-way-1301603398,-31.37597,-64.44099,A4,0.5,natural=cliff
osm-way-1436988354,-31.36248,-64.44857,A4,0.5,natural=cliff
osm-way-1436988359,-31.36205,-64.44800,A4,0.5,natural=cliff
osm-way-738998147,-31.37219,-64.44033,A7,0.6,natural=wetland
osm-way-1436988334,-31.36901,-64.44150,A4,0.5,natural=cliff
osm-way-1436988335,-31.36892,-64.44139,A4,0.5,natural=cliff
osm-way-1436988336,-31.36890,-64.44125,A4,0.5,natural=cliff
osm-way-1436988337,-31.36886,-64.44116,A4,0.5,natural=cliff
osm-way-1436988338,-31.36762,-64.44396,A4,0.5,natural=cliff
osm-way-1436988339,-31.36768,-64.44375,A4,0.5,natural=cliff
osm-way-1436988340,-31.36779,-64.44333,A4,0.5,natural=cliff
osm-way-1436988341,-31.36750,-64.44351,A4,0.5,natural=cliff
osm-way-1436988342,-31.36619,-64.44639,A4,0.5,natural=cliff
osm-way-1436988343,-31.36614,-64.44624,A4,0.5,natural=cliff
osm-way-1436988344,-31.36541,-64.44620,A4,0.5,natural=cliff
osm-way-1436988345,-31.36529,-64.44621,A4,0.5,natural=cliff
osm-way-1436988346,-31.36520,-64.44618,A4,0.5,natural=cliff
osm-way-1436988347,-31.36512,-64.44611,A4,0.5,natural=cliff
osm-way-1436988348,-31.36504,-64.44605,A4,0.5,natural=cliff
osm-way-1436988360,-31.36327,-64.44738,A4,0.5,natural=cliff
osm-way-1496267592,-31.35147,-64.48003,A7,0.6,natural=wetland
osm-way-1436988349,-31.36033,-64.44867,A4,0.5,natural=cliff
osm-way-1436988350,-31.36026,-64.44856,A4,0.5,natural=cliff
osm-way-1436988351,-31.36026,-64.44845,A4,0.5,natural=cliff
osm-way-1436988352,-31.36027,-64.44835,A4,0.5,natural=cliff
osm-way-1436988353,-31.36017,-64.44825,A4,0.5,natural=cliff
osm-way-1436988355,-31.35813,-64.44827,A4,0.5,natural=cliff
osm-way-1436988357,-31.36103,-64.44851,A4,0.5,natural=cliff
osm-way-1436988358,-31.36095,-64.44839,A4,0.5,natural=cliff
osm-way-1436988356,-31.35814,-64.44816,A4,0.5,natural=cliff
osm-way-1197717397,-31.35481,-64.44905,A4,0.5,natural=cliff
osm-way-1521925189,-31.34545,-64.42132,A4,0.5,natural=cliff
osm-way-438021546,-31.35321,-64.39698,A3,0.9,natural=beach
osm-way-1322132806,-31.31847,-64.58303,A7,0.6,natural=wetland
osm-way-1322124143,-31.30602,-64.57586,A7,0.6,natural=wetland
osm-way-1322124153,-31.30583,-64.59076,A7,0.6,natural=wetland
osm-way-1322124808,-31.30782,-64.59122,A7,0.6,natural=wetland
osm-way-1322124142,-31.30577,-64.58345,A7,0.6,natural=wetland
